受渡日,時刻コード,システムプライス(円/kWh),Hokkaido,Tohoku,Tokyo,Chubu,Hokuriku,Kansai,Chugoku,Shikoku,Kyushu
2024/4/1,1,8.57,9.02,9.02,9.02,9.02,7.15,7.15,7.15,7.15,7.15
2024/4/1,2,8.59,9.01,9.01,9.01,9.01,7.17,7.17,7.17,7.17,7.17
2024/4/1,3,8.86,9.43,9.43,9.43,9.43,7.15,7.15,7.15,7.15,7.15
2024/4/1,4,8.95,9.52,9.52,9.52,9.52,7.15,7.15,7.15,7.15,7.15
2024/4/1,5,9,9.6,9.6,9.6,9.6,7.52,7.52,7.52,7.52,7.52
2024/4/1,6,9.13,9.87,9.87,9.87,9.87,7.76,7.76,7.76,7.76,7.76
2024/4/1,7,9.31,9.84,9.84,9.84,9.84,7.96,7.96,7.96,7.96,7.96
2024/4/1,8,9.2,9.5,9.5,9.5,9.5,8.5,8.5,8.5,8.5,8.5
2024/4/1,9,9.5,9.74,9.74,9.74,9.74,8.89,8.89,8.89,8.89,8.89
2024/4/1,10,9.54,9.78,9.78,9.78,9.78,8.97,8.97,8.97,8.97,8.97
2024/4/1,11,10.01,10.14,10.14,10.14,10.14,10.01,10.01,10.01,10.01,10.01
2024/4/1,12,10,10.24,10.24,10.24,10.24,9.76,9.76,9.76,9.76,9.76
2024/4/1,13,10.04,10.04,10.04,10.04,10.04,9.9,9.9,9.9,9.9,9.9
2024/4/1,14,9.55,9.87,9.87,9.87,9.87,9.12,9.12,9.12,9.12,9.12
2024/4/1,15,9.06,9.2,9.2,9.2,9.2,7.77,7.77,7.77,7.77,7.77
2024/4/1,16,8.77,9.06,9.06,9.06,9.06,6.01,6.01,6.01,6.01,6.01
2024/4/1,17,7.17,8.89,8.89,8.89,4,4,4,4,4,4
2024/4/1,18,6.01,8.95,8.95,8.95,1,1,1,1,1,1
2024/4/1,19,3,0.5,0.5,9.33,0.01,0.01,0.01,0.01,0.01,0.01
2024/4/1,20,0.5,0.01,0.01,9.1,0.01,0.01,0.01,0.01,0.01,0.01
2024/4/1,21,0.02,0.01,0.01,9,0.01,0.01,0.01,0.01,0.01,0.01
2024/4/1,22,0.01,0.01,0.01,8.88,0.01,0.01,0.01,0.01,0.01,0.01
2024/4/1,23,0.01,0.01,0.01,8.6,0.01,0.01,0.01,0.01,0.01,0.01
2024/4/1,24,0.01,0.01,0.01,8.55,0.01,0.01,0.01,0.01,0.01,0.01
