datetime,area,エリア需要,原子力,火力(合計),火力(LNG),火力(石炭),火力(石油),火力(その他),火力出力制御量,水力,地熱,バイオマス,バイオマス出力制御量,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2024-04-01 00:00:00,東京,10843.5,0.0,8043.5,5200.0,2338.0,28.0,477.5,0.0,939.0,0.0,245.5,0.0,0.0,0.0,35.5,0.0,248.0,0.0,1205.5,127.0,10844.0
2024-04-01 00:30:00,東京,10457.0,0.0,7723.5,4877.0,2336.0,28.0,482.5,0.0,943.0,0.0,246.0,0.0,0.0,0.0,35.0,0.0,346.0,0.0,1018.5,145.0,10457.0
2024-04-01 01:00:00,東京,10313.0,0.0,7840.0,4990.0,2336.0,28.0,486.0,0.0,946.0,0.0,245.5,0.0,0.0,0.0,38.5,0.0,323.0,0.0,759.0,161.0,10313.0
2024-04-01 01:30:00,東京,10295.0,0.0,7949.5,5115.5,2336.0,28.0,470.0,0.0,945.0,0.0,246.0,0.0,0.0,0.0,38.0,0.0,300.5,0.0,653.0,163.0,10295.0
2024-04-01 02:00:00,東京,10309.0,0.0,8057.0,5218.5,2336.5,28.0,474.0,0.0,947.5,0.0,246.0,0.0,0.0,0.0,37.0,0.0,276.5,0.0,581.0,163.5,10308.5
2024-04-01 02:30:00,東京,10401.0,0.0,8161.0,5300.0,2350.5,28.5,482.0,0.0,950.5,0.0,245.0,0.0,0.0,0.0,38.5,0.0,269.0,0.0,574.0,163.0,10401.0
2024-04-01 03:00:00,東京,10532.0,0.0,8191.5,5320.0,2361.5,28.5,481.5,0.0,952.0,0.0,245.0,0.0,0.0,0.0,41.5,0.0,273.0,0.0,664.0,165.0,10532.0
2024-04-01 03:30:00,東京,10580.5,0.0,8240.0,5368.0,2361.5,28.5,482.0,0.0,954.0,0.0,245.5,0.0,0.0,0.0,44.5,0.0,262.5,0.0,672.0,161.5,10580.0
2024-04-01 04:00:00,東京,10704.5,0.0,8661.0,5787.5,2361.5,28.5,483.5,0.0,953.5,0.0,245.5,0.0,0.0,0.0,47.5,0.0,27.0,0.0,604.5,165.5,10704.5
2024-04-01 04:30:00,東京,10754.0,0.0,8889.5,6031.5,2361.0,29.0,468.0,0.0,912.0,0.0,246.0,0.0,0.0,0.0,49.0,0.0,-35.0,0.0,529.0,163.5,10754.0
2024-04-01 05:00:00,東京,11016.5,0.0,9158.0,6313.0,2361.0,29.0,455.0,0.0,908.5,0.0,244.0,0.0,0.0,0.0,53.0,0.0,-33.0,0.0,518.0,167.5,11016.0
2024-04-01 05:30:00,東京,11170.5,0.0,9221.5,6393.5,2361.5,29.0,437.5,0.0,906.5,0.0,244.5,0.0,22.5,0.0,55.0,0.0,-21.0,0.0,577.0,165.5,11171.5
2024-04-01 06:00:00,東京,11791.0,0.0,9319.0,6477.0,2390.0,29.0,423.0,0.0,915.5,0.0,241.0,0.0,105.5,0.0,56.5,0.0,203.0,0.0,790.0,160.5,11791.0
2024-04-01 06:30:00,東京,12208.0,0.0,9313.5,6489.0,2403.0,29.0,392.5,0.0,938.0,0.0,235.0,0.0,271.0,0.0,60.0,0.0,240.0,0.0,1007.5,143.5,12208.5
2024-04-01 07:00:00,東京,12708.0,0.0,9179.5,6417.0,2402.5,29.0,331.0,0.0,937.0,0.0,235.0,0.0,631.0,0.0,61.0,0.0,246.0,0.0,1276.0,143.0,12708.5
2024-04-01 07:30:00,東京,13199.5,0.0,8817.0,6053.5,2410.5,30.0,323.0,0.0,919.0,0.0,235.0,0.0,1198.0,0.0,64.0,0.0,171.5,0.0,1661.5,133.5,13199.5
2024-04-01 08:00:00,東京,13836.0,0.0,8473.0,5688.0,2405.5,30.5,349.0,0.0,961.5,0.0,233.5,0.0,1875.0,0.0,68.0,0.0,63.0,0.0,2017.0,144.5,13835.5
2024-04-01 08:30:00,東京,14293.5,0.0,8087.0,5348.0,2353.0,30.5,355.5,0.0,966.5,0.0,233.0,0.0,2702.5,0.0,65.5,0.0,0.0,0.0,2088.0,151.0,14293.5
2024-04-01 09:00:00,東京,14941.5,0.0,7781.5,5091.0,2317.5,30.5,342.5,0.0,961.5,0.0,231.0,0.0,3712.0,0.0,67.0,0.0,0.0,0.0,2049.0,140.5,14942.5
2024-04-01 09:30:00,東京,15180.0,0.0,7175.0,4736.5,2045.0,30.0,363.5,0.0,961.0,0.0,232.0,0.0,4557.5,0.0,64.5,0.0,-22.0,0.0,2060.5,150.5,15179.0
2024-04-01 10:00:00,東京,15392.5,0.0,6840.0,4604.5,1857.5,30.0,348.0,0.0,958.5,0.0,207.5,0.0,5405.0,0.0,59.0,0.0,-210.0,0.0,1988.0,144.0,15392.0
2024-04-01 10:30:00,東京,15478.0,0.0,6564.5,4416.5,1747.0,30.0,371.0,0.0,961.0,0.0,207.0,0.0,5903.5,0.0,62.0,0.0,-209.5,0.0,1837.5,152.0,15478.0
2024-04-01 11:00:00,東京,15732.5,0.0,6437.5,4388.0,1642.5,30.0,377.0,0.0,963.0,0.0,206.0,0.0,6403.5,0.0,62.0,0.0,-329.0,0.0,1837.0,153.0,15733.0
2024-04-01 11:30:00,東京,15956.5,0.0,6516.0,4486.0,1607.5,30.0,392.5,0.0,955.5,0.0,203.0,0.0,6455.0,0.0,55.0,0.0,-343.0,0.0,1961.0,154.0,15956.5
2024-04-01 12:00:00,東京,15543.0,0.0,6598.5,4571.0,1589.5,30.0,408.0,0.0,928.5,0.0,196.5,0.0,6126.0,0.0,56.5,0.0,-437.5,0.0,1924.0,150.0,15542.5
2024-04-01 12:30:00,東京,15117.0,0.0,6727.0,4714.5,1606.0,30.0,376.5,0.0,872.0,0.0,193.0,0.0,5641.5,0.0,57.0,0.0,-332.0,0.0,1809.5,148.5,15116.5
2024-04-01 13:00:00,東京,15487.0,0.0,7217.5,5112.5,1722.0,30.0,353.0,0.0,864.5,0.0,185.5,0.0,5368.5,0.0,63.0,0.0,0.0,0.0,1641.5,146.5,15487.0
2024-04-01 13:30:00,東京,15513.5,0.0,7309.0,5128.5,1799.0,29.5,352.0,0.0,869.0,0.0,186.0,0.0,5031.0,0.0,65.5,0.0,0.0,0.0,1906.5,146.5,15513.5
2024-04-01 14:00:00,東京,15185.0,0.0,7390.0,5109.0,1886.0,30.0,365.0,0.0,889.0,0.0,186.0,0.0,4489.0,0.0,64.5,0.0,0.0,0.0,2030.0,137.0,15185.5
2024-04-01 14:30:00,東京,15105.0,0.0,7482.0,5114.5,1981.0,30.0,356.5,0.0,906.0,0.0,185.5,0.0,4111.5,0.0,67.5,0.0,-2.0,0.0,2216.0,138.0,15104.5
2024-04-01 15:00:00,東京,15012.0,0.0,8186.0,5723.5,2079.0,29.5,354.0,0.0,944.5,0.0,187.0,0.0,3473.0,0.0,66.0,0.0,-1.5,0.0,2013.5,144.5,15013.0
2024-04-01 15:30:00,東京,15084.5,0.0,9139.5,6451.0,2316.5,30.0,342.0,0.0,964.0,0.0,186.5,0.0,2674.5,0.0,68.5,0.0,0.0,0.0,1910.5,141.0,15084.5
2024-04-01 16:00:00,東京,15139.0,0.0,10175.0,7430.5,2366.5,29.5,348.5,0.0,1013.5,0.0,187.0,0.0,1852.5,0.0,65.0,0.0,31.0,0.0,1660.0,155.5,15139.5
2024-04-01 16:30:00,東京,15135.0,0.0,11116.0,8293.0,2439.0,29.5,354.5,0.0,1018.0,0.0,188.0,0.0,1073.5,0.0,66.5,0.0,275.0,0.0,1247.5,150.5,15135.0
2024-04-01 17:00:00,東京,15161.5,0.0,11702.0,8627.0,2671.5,29.5,374.0,0.0,1031.5,0.0,190.0,0.0,473.0,0.0,57.5,0.0,392.5,0.0,1163.5,151.0,15161.0
2024-04-01 17:30:00,東京,15302.5,0.0,12148.5,8988.0,2749.0,30.0,381.5,0.0,1032.5,0.0,190.0,0.0,97.0,0.0,54.0,0.0,543.0,0.0,1092.0,145.5,15302.5
2024-04-01 18:00:00,東京,15596.5,0.0,12363.5,9168.0,2777.5,30.0,388.0,0.0,1040.5,0.0,191.0,0.0,0.0,0.0,45.0,0.0,764.5,0.0,1036.5,156.0,15597.0
2024-04-01 18:30:00,東京,15614.5,0.0,12229.0,9049.5,2779.5,30.0,370.0,0.0,1039.0,0.0,192.5,0.0,0.0,0.0,44.0,0.0,579.5,0.0,1378.5,152.5,15615.0
2024-04-01 19:00:00,東京,15472.0,0.0,12272.5,9117.0,2780.0,30.0,345.5,0.0,1026.0,0.0,191.5,0.0,0.0,0.0,47.0,0.0,456.0,0.0,1329.0,150.0,15472.0
2024-04-01 19:30:00,東京,15229.0,0.0,11989.5,8823.5,2781.0,29.5,355.5,0.0,1014.0,0.0,191.5,0.0,0.0,0.0,53.0,0.0,456.5,0.0,1369.5,155.0,15229.0
2024-04-01 20:00:00,東京,14957.0,0.0,12110.0,8923.5,2780.5,29.5,376.5,0.0,964.5,0.0,191.5,0.0,0.0,0.0,63.5,0.0,455.5,0.0,1022.0,150.5,14957.5
2024-04-01 20:30:00,東京,14730.5,0.0,12004.5,8812.0,2780.5,29.5,382.5,0.0,964.5,0.0,192.0,0.0,0.0,0.0,66.0,0.0,262.0,0.0,1089.0,153.0,14731.0
2024-04-01 21:00:00,東京,14383.0,0.0,11490.5,8352.0,2744.5,30.0,364.0,0.0,973.0,0.0,192.0,0.0,0.0,0.0,64.0,0.0,375.5,0.0,1140.5,149.0,14384.5
2024-04-01 21:30:00,東京,13968.5,0.0,11165.0,8038.0,2731.0,30.0,366.0,0.0,959.0,0.0,191.5,0.0,0.0,0.0,62.0,0.0,324.5,0.0,1111.5,154.5,13968.0
2024-04-01 22:00:00,東京,13797.0,0.0,10911.5,7808.0,2731.5,28.5,343.5,0.0,937.0,0.0,192.5,0.0,0.0,0.0,62.5,0.0,296.5,0.0,1248.5,147.5,13796.0
2024-04-01 22:30:00,東京,13444.0,0.0,10394.5,7332.5,2708.0,28.5,325.5,0.0,931.0,0.0,192.0,0.0,0.0,0.0,62.5,0.0,271.5,0.0,1439.0,153.0,13443.5
2024-04-01 23:00:00,東京,13087.0,0.0,10131.5,7093.5,2705.5,28.5,304.0,0.0,930.0,0.0,192.0,0.0,0.0,0.0,61.5,0.0,182.5,0.0,1452.5,137.0,13087.0
2024-04-01 23:30:00,東京,12665.5,0.0,9723.0,6701.0,2702.5,28.0,291.5,0.0,897.0,0.0,191.5,0.0,0.0,0.0,66.0,0.0,96.0,0.0,1545.0,146.5,12665.0
2024-04-02 00:00:00,東京,12168.5,0.0,9481.5,6495.0,2683.0,28.0,275.5,0.0,893.5,0.0,200.5,0.0,0.0,0.0,63.0,0.0,47.0,0.0,1332.0,150.5,12168.0
2024-04-02 00:30:00,東京,11732.5,0.0,9283.0,6267.5,2684.0,28.5,303.0,0.0,922.5,0.0,200.5,0.0,0.0,0.0,55.5,0.0,-279.0,0.0,1377.0,173.0,11732.5
2024-04-02 01:00:00,東京,11602.0,0.0,9478.5,6458.0,2685.0,28.0,307.5,0.0,915.0,0.0,200.5,0.0,0.0,0.0,63.0,0.0,-438.5,0.0,1191.5,193.0,11603.0
2024-04-02 01:30:00,東京,11590.0,0.0,9602.0,6566.5,2684.0,28.0,323.5,0.0,910.5,0.0,201.0,0.0,0.0,0.0,64.5,0.0,-439.0,0.0,1053.0,198.5,11590.5
2024-04-02 02:00:00,東京,11602.0,0.0,9640.5,6565.5,2695.5,28.0,351.5,0.0,904.5,0.0,200.5,0.0,0.0,0.0,68.5,0.0,-444.0,0.0,1034.5,197.5,11602.0
2024-04-02 02:30:00,東京,11741.0,0.0,9931.5,6786.5,2744.0,28.5,372.5,0.0,915.5,0.0,200.5,0.0,0.0,0.0,73.0,0.0,-238.5,0.0,662.0,197.0,11741.0
2024-04-02 03:00:00,東京,11843.0,0.0,9996.0,6852.0,2761.0,28.5,354.5,0.0,911.0,0.0,200.5,0.0,0.0,0.0,75.5,0.0,-229.0,0.0,688.0,200.5,11842.5
2024-04-02 03:30:00,東京,11985.5,0.0,10134.5,7008.0,2761.5,28.5,336.5,0.0,909.5,0.0,200.5,0.0,0.0,0.0,75.0,0.0,-197.0,0.0,667.5,196.5,11986.5
2024-04-02 04:00:00,東京,12037.0,0.0,10203.5,7069.0,2762.0,28.5,344.0,0.0,907.0,0.0,200.5,0.0,0.0,0.0,75.0,0.0,-229.5,0.0,695.0,186.5,12038.0
2024-04-02 04:30:00,東京,12182.0,0.0,10400.0,7263.0,2762.0,28.0,347.0,0.0,865.0,0.0,201.5,0.0,0.0,0.0,74.0,0.0,-172.5,0.0,641.5,172.5,12182.0
2024-04-02 05:00:00,東京,12521.0,0.0,10567.0,7418.0,2761.5,28.5,359.0,0.0,861.5,0.0,199.5,0.0,0.0,0.0,69.5,0.0,-13.5,0.0,665.0,171.0,12520.0
2024-04-02 05:30:00,東京,12606.5,0.0,10487.0,7272.0,2775.0,28.5,411.5,0.0,862.0,0.0,200.0,0.0,25.5,0.0,71.0,0.0,0.0,0.0,808.5,152.0,12606.0
2024-04-02 06:00:00,東京,12949.5,0.0,10376.0,7156.5,2776.0,28.5,415.0,0.0,869.0,0.0,201.0,0.0,373.0,0.0,68.5,0.0,0.0,0.0,906.0,156.5,12950.0
2024-04-02 06:30:00,東京,13158.5,0.0,9981.0,6780.5,2739.0,28.0,433.5,0.0,867.5,0.0,200.5,0.0,1060.0,0.0,67.0,0.0,0.0,0.0,844.5,137.0,13157.5
2024-04-02 07:00:00,東京,13337.5,0.0,9129.5,5992.0,2640.5,28.0,469.0,0.0,863.0,0.0,200.0,0.0,2009.0,0.0,64.0,0.0,-86.5,0.0,1010.5,147.5,13337.0
2024-04-02 07:30:00,東京,13692.0,0.0,8544.0,5403.5,2609.5,28.0,503.0,0.0,853.5,0.0,200.0,0.0,3116.0,0.0,62.5,0.0,-303.0,0.0,1080.5,137.5,13691.0
2024-04-02 08:00:00,東京,14434.0,0.0,7955.0,4888.0,2515.0,27.5,524.5,0.0,880.0,0.0,198.0,0.0,4246.5,0.0,60.0,0.0,-231.5,0.0,1185.5,141.0,14434.5
2024-04-02 08:30:00,東京,15129.0,0.0,7929.5,4983.5,2388.5,27.5,530.0,0.0,883.0,0.0,197.5,0.0,5216.0,0.0,56.0,0.0,-229.0,0.0,929.5,146.0,15128.5
2024-04-02 09:00:00,東京,15616.5,0.0,7685.5,4704.5,2420.5,27.5,533.0,0.0,881.0,0.0,197.0,0.0,6011.0,0.0,54.0,0.0,-296.0,0.0,941.5,143.0,15617.0
2024-04-02 09:30:00,東京,15959.5,0.0,7361.0,4460.5,2333.5,27.0,540.0,0.0,881.0,0.0,198.0,0.0,6664.0,0.0,53.0,0.0,-515.0,0.0,1163.0,154.5,15959.5
2024-04-02 10:00:00,東京,16048.5,0.0,7168.0,4464.0,2128.5,27.0,548.5,0.0,869.0,0.0,197.5,0.0,7177.5,0.0,47.5,0.0,-1207.5,0.0,1650.5,145.5,16048.0
2024-04-02 10:30:00,東京,16324.5,0.0,7260.0,4698.5,1993.5,27.5,540.5,0.0,866.0,0.0,198.0,0.0,7550.0,0.0,45.0,0.0,-1315.5,0.0,1567.0,154.0,16324.5
2024-04-02 11:00:00,東京,16372.0,0.0,7045.0,4434.0,2046.5,27.5,537.0,0.0,842.5,0.0,197.0,0.0,7644.0,0.0,42.5,0.0,-1516.5,0.0,1963.0,154.5,16372.0
2024-04-02 11:30:00,東京,16468.5,0.0,7332.0,4660.5,2112.0,27.0,532.5,0.0,841.5,0.0,197.5,0.0,7602.5,0.0,42.0,0.0,-1712.0,0.0,2009.0,155.5,16468.0
2024-04-02 12:00:00,東京,15918.5,0.0,7467.5,4654.0,2252.0,27.0,534.5,0.0,841.5,0.0,197.5,0.0,6969.5,0.0,42.5,0.0,-1787.5,0.0,2034.0,153.5,15918.5
2024-04-02 12:30:00,東京,15522.5,0.0,7737.5,4670.0,2497.0,27.5,543.0,0.0,802.0,0.0,197.0,0.0,6195.0,0.0,44.5,0.0,-1649.5,0.0,2045.5,151.0,15523.0
2024-04-02 13:00:00,東京,15838.5,0.0,7947.0,4806.0,2563.0,31.5,546.5,0.0,802.0,0.0,195.0,0.0,5470.0,0.0,46.5,0.0,-778.0,0.0,2006.5,149.5,15838.5
2024-04-02 13:30:00,東京,15713.5,0.0,8174.5,4950.0,2651.0,31.0,542.5,0.0,814.5,0.0,196.0,0.0,4778.5,0.0,47.0,0.0,-215.5,0.0,1769.0,149.5,15713.5
2024-04-02 14:00:00,東京,15696.0,0.0,8591.5,5346.0,2658.5,31.0,556.0,0.0,836.5,0.0,195.5,0.0,4062.0,0.0,50.5,0.0,680.0,0.0,1142.0,137.5,15695.5
2024-04-02 14:30:00,東京,15216.5,0.0,8720.5,5497.0,2657.5,27.0,539.0,0.0,834.5,0.0,195.5,0.0,3280.5,0.0,55.0,0.0,737.0,0.0,1255.5,138.0,15216.5
2024-04-02 15:00:00,東京,14987.5,0.0,8770.0,5586.5,2656.0,27.0,500.5,0.0,842.0,0.0,197.0,0.0,2929.5,0.0,55.5,0.0,380.0,0.0,1667.5,146.0,14987.5
2024-04-02 15:30:00,東京,15115.5,0.0,9511.0,6324.0,2657.5,27.0,502.5,0.0,850.0,0.0,196.5,0.0,2495.5,0.0,57.0,0.0,549.0,0.0,1311.5,145.5,15116.0
2024-04-02 16:00:00,東京,15197.0,0.0,10486.5,7283.5,2678.5,27.0,497.5,0.0,903.5,0.0,197.0,0.0,1854.0,0.0,58.0,0.0,465.5,0.0,1078.5,153.5,15196.5
2024-04-02 16:30:00,東京,15174.5,0.0,11096.0,7843.5,2728.5,27.5,496.5,0.0,913.0,0.0,198.0,0.0,1063.0,0.0,52.0,0.0,441.0,0.0,1261.0,150.5,15174.5
2024-04-02 17:00:00,東京,15018.5,0.0,11675.5,8365.5,2793.5,27.5,489.0,0.0,931.5,0.0,200.5,0.0,402.5,0.0,46.0,0.0,275.5,0.0,1337.5,149.5,15018.5
2024-04-02 17:30:00,東京,15356.0,0.0,12569.5,9233.5,2798.5,27.5,510.0,0.0,938.5,0.0,200.0,0.0,72.0,0.0,45.5,0.0,940.0,0.0,445.5,145.0,15356.0
2024-04-02 18:00:00,東京,15711.5,0.0,12822.0,9418.5,2822.5,27.5,553.5,0.0,951.0,0.0,201.0,0.0,0.0,0.0,43.0,0.0,986.5,0.0,557.0,150.5,15711.0
2024-04-02 18:30:00,東京,15740.0,0.0,12850.5,9447.0,2824.5,27.5,551.5,0.0,954.5,0.0,202.5,0.0,0.0,0.0,38.5,0.0,1011.0,0.0,533.5,149.0,15739.5
2024-04-02 19:00:00,東京,15544.5,0.0,12759.5,9359.5,2826.0,27.0,547.0,0.0,960.0,0.0,201.5,0.0,0.0,0.0,39.5,0.0,946.5,0.0,500.0,137.0,15544.0
2024-04-02 19:30:00,東京,15303.0,0.0,12582.5,9182.0,2825.5,27.0,548.0,0.0,957.5,0.0,201.5,0.0,0.0,0.0,38.5,0.0,626.0,0.0,755.5,141.5,15303.0
2024-04-02 20:00:00,東京,15073.0,0.0,12375.0,8997.0,2826.0,27.0,525.0,0.0,885.5,0.0,202.0,0.0,0.0,0.0,36.0,0.0,442.5,0.0,987.5,144.5,15073.0
2024-04-02 20:30:00,東京,14859.0,0.0,12259.0,8882.5,2825.0,27.5,524.0,0.0,884.0,0.0,202.0,0.0,0.0,0.0,33.5,0.0,307.5,0.0,1025.0,148.0,14859.0
2024-04-02 21:00:00,東京,14474.5,0.0,12026.5,8649.5,2825.5,27.5,524.0,0.0,886.5,0.0,202.5,0.0,0.0,0.0,35.5,0.0,213.0,0.0,965.0,146.0,14475.0
2024-04-02 21:30:00,東京,14020.5,0.0,11612.0,8240.0,2825.5,27.5,519.0,0.0,884.0,0.0,201.5,0.0,0.0,0.0,28.5,0.0,102.0,0.0,1039.5,152.5,14020.0
2024-04-02 22:00:00,東京,13803.5,0.0,11362.0,8058.5,2790.5,28.0,485.0,0.0,882.0,0.0,202.5,0.0,0.0,0.0,22.5,0.0,72.0,0.0,1111.5,151.0,13803.5
2024-04-02 22:30:00,東京,13411.0,0.0,10928.5,7694.0,2739.0,28.0,467.5,0.0,867.5,0.0,202.5,0.0,0.0,0.0,22.0,0.0,70.5,0.0,1164.0,156.0,13411.0
2024-04-02 23:00:00,東京,13080.5,0.0,10905.5,7679.0,2725.0,28.0,473.5,0.0,863.0,0.0,202.0,0.0,0.0,0.0,20.5,0.0,75.0,0.0,882.5,132.0,13080.5
2024-04-02 23:30:00,東京,12624.5,0.0,10625.5,7423.5,2722.0,28.0,452.0,0.0,841.0,0.0,202.0,0.0,0.0,0.0,18.0,0.0,40.5,0.0,756.5,141.0,12624.5
2024-04-03 00:00:00,東京,12263.0,0.0,10334.5,7169.0,2682.5,28.5,454.5,0.0,866.0,0.0,202.0,0.0,0.0,0.0,11.5,0.0,-211.5,0.0,908.0,152.0,12262.5
2024-04-03 00:30:00,東京,11795.5,0.0,10383.5,7184.0,2720.5,28.0,451.0,0.0,867.5,0.0,202.0,0.0,0.0,0.0,10.0,0.0,-828.5,0.0,986.5,175.0,11796.0
