year,oil_dol,gas_dol,coal_dol,yen_per_dol,inflation_ratio,oil_yen,gas_yen,coal_yen,fuel_index
2024,82.3,618,158.5,153.5,100,79434.54681,94863,24329.75,1
2025,75.3,680.2,170.3,149.9,102.1,70973.76042,101961.98,25527.97,1.074834024
2026,73.8,597.7,170.9,144.6,104.2,67100.51631,86427.42,24712.14,0.911076184
2027,86.8,543.3,143.2,139.5,106.4,76136.89121,75790.35,19976.4,0.798945321
2028,91,528.5,140.7,134.7,108.6,77074.40756,71188.95,18952.29,0.750439581
2029,92.8,539.7,140.6,130.1,110.9,75914.80484,70214.97,18292.06,0.740172354
2030,94.4,502.7,138.4,125.6,113.3,74552.60804,63139.12,17383.04,0.665582155
2031,95.3,515.9,141.2,121.4,115.7,72746.61578,62630.26,17141.68,0.660217999
2032,97.5,572.9,150.3,117.5,118.2,72035.02138,67315.75,17660.25,0.709610175
2033,99.2,616.9,149.6,113.8,120.8,70983.12929,70203.22,17024.48,0.740048491
2034,100,651.6,149,110.2,123.3,69291.95292,71806.32,16419.8,0.756947598
2035,100.6,673.7,152.6,106.6,126,67430.50194,71816.42,16267.16,0.757054067
2036,101.2,691.4,156.5,104.9,128.7,66750.91263,72527.86,16416.85,0.764553725
2037,101.8,710.6,161.6,104.9,131.4,67146.66902,74541.94,16951.84,0.785785185
2038,102.4,737,162.3,104.9,134.1,67542.42542,77311.3,17025.27,0.814978443
2039,103,764.4,166.1,104.9,137.1,67938.18182,80185.56,17423.89,0.845277505
2040,104.4,796.9,173.4,104.9,140.1,68861.61342,83594.81,18189.66,0.881216175
2041,105.2,826.2,177.8,104.9,143.1,69389.28862,86668.38,18651.22,0.913616268
2042,107,852.9,185,104.9,146.1,70576.55782,89469.21,19406.5,0.943141267
2043,107.9,873.4,184.8,104.9,149.3,71170.19241,91619.66,19385.52,0.965810274
2044,109.9,899,189.6,104.9,152.5,72489.38041,94305.1,19889.04,0.994118887
2045,111.8,929.4,195.6,104.9,155.7,73742.60901,97494.06,20518.44,1.027735366
